call,priority,specific_objective,acronym,summary,lead_partner,start_end,total_budget,erdf_funding,norway_funding
Call 4C (FA),Priority 1,1.1,DigiH4A,Digital Health for All [FA],Innovation Skåne AB,01/10/2024-31/03/2028,4.246.412€,2.427.976€,99.892€
Call 4C (FA),Priority 1,1.1,BRAVE,Business Readiness Acceleration for innoVative regional Energy ecosystems [FA],Gemeente Rotterdam,01/07/2024-30/09/2027,4.551.064€,2.593.623€,114.180€
Call 1C (FA),Priority 1,1.1,SIRR,"Sustainability, Innovation and Resilience in Rural areas",Sotenäs kommun,01/10/2022-30/09/2027,5.659.453€,3.395.671€,0€
Call 4C (FA),Priority 1,1.1,DISCO,Digital solutions for climate adaptation [FA],Gemeente Zwolle,01/06/2024-31/05/2028,5.088.226€,3.052.936€,0€
Call 4C (FA),Priority 1,1.1,Digital Kiosks,Innovative public-private-people partnerships to implement new infrastructure (digital kiosks) for the Sharing Economy of Goods,Ville de Saint-Quentin,15/05/2024-15/05/2027,3.655.094€,2.015.114€,148.285€
Call 4C (FA),Priority 1,1.1,H2ignite,Igniting H2 Transport Innovation Ecosystems in the North Sea Region,"Ministerium für Landwirtschaft, ländliche Räume, Europa und Verbraucherschutz",01/09/2024-31/08/2027,2.935.895€,1.761.538€,0€
Call 4C (FA),Priority 1,1.1,CircleBIM,Public Sector Innovation with BIM for a more circular construction sector [FA] (4C),HafenCity Universität Hamburg,01/11/2024-30/04/2028,4.560.924€,2.685.555€,42.500€
Call 2B (SSP),Priority 1,1.1,SUPER,Succesful User Participation Examples and Recommendations in Digital Mental health,GGz Centraal,01/09/2023-28/02/2025,400.000€,240.000€,0€
Call 4C (FA),Priority 1,1.1,SSCH,Super Smart Charging Hubs [FA],Provincie Zeeland,01/06/2024-31/05/2027,4.082.671€,2.449.604€,0€
Call 3C (FA),Priority 1,1.1,STORM_SAFE,"Software reliability for critical infrastructures: Co-Development, Implementation and wider application of solutions in Pilot Infrastructures such as Storm Surge Barriers [FA]",Ministerie van Infrastructuur en Waterstaat Rijkswaterstaat,01/01/2024-31/12/2027,7.409.302€,4.445.580€,0€
Call 1C (FA),Priority 1,1.1,ACE,Accelerating the Home Care Innovation Ecosystem of the Future in the North Sea Region,RISE Research Institutes of Sweden,01/01/2023-30/06/2026,4.361.215€,2.616.729€,0€
Call 1C (FA),Priority 1,1.1,CR,Connected River,Ministerie van Infrastructuur en Waterstaat,01/01/2023-31/12/2026,5.048.192€,3.028.915€,0€
Call 1C (FA),Priority 1,1.1,D4A,Data for All. Data-driven Public Service Delivery in the North Sea Region,Intercommunale Leiedal,20/09/2022-31/12/2025,6.121.959€,3.362.466€,258.925€
Call 3C (FA),Priority 1,1.2,3ST,Speeding up Sustainability Skills in Tourism [FA],NV Economische Impuls Zeeland,01/11/2023-28/02/2027,4.403.067€,2.641.841€,0€
Call 2B (SSP),Priority 1,1.2,SUSTAIN-3D,SUpporting Sme TrAnsformation wIthiN 3Dp,Business Viborg,01/09/2023-28/02/2025,497.298€,298.379€,0€
Call 3B (SSP),Priority 1,1.2,GRIT,Skills for a Green Industrial Transition,Provincie Antwerpen,01/01/2024-30/06/2025,499.972€,299.983€,0€
Call 4C (FA),Priority 1,1.2,OASIS,Offshore Accelerator for System Integration and Storage [FA],Dutch Marine Energy Centre,01/09/2024-31/08/2027,3.455.839€,1.895.153€,148.625€
Call 3C (FA),Priority 1,1.2,NESSIE,NEw Skills & Spaces Impulse for the Education of aspirant energy-transition installers (3C),Stichting New Energy Coalition,01/01/2024-31/03/2027,3.383.172€,2.029.904€,0€
Call 2C (FA),Priority 2,2.1,WaterWarmth,WaterWarmth: Accelerating the transition towards sustainable heating and cooling based on collective surface water heat pump systems [FA],Provinsje Fryslân,15/06/2023-15/09/2026,7.997.253€,4.798.353€,0€
Call 1C (FA),Priority 2,2.2,REDII Ports,Renewable Energy Development and Intelligent Implementation in PORTS,Skagen Havn,20/09/2022-19/03/2026,6.871.620€,3.672.972€,375.000€
Call 2C (FA),Priority 2,2.2,LIHYP,Linking hydrogen power potentials [FA],Stichting New Energy Coalition,01/06/2023-01/02/2027,4.896.419€,2.937.852€,0€
Call 2C (FA),Priority 2,2.2,DIOL,Develop Innovative Offshore Logistic - accommodating the needs from The Esbjerg Declaration,Esbjerg Lufthavn,12/04/2023-12/04/2027,7.304.450€,4.382.670€,0€
Call 2C (FA),Priority 2,2.2,GRITH,Green Renewable Industrial Transition Hotspots,Provincie Drenthe,01/05/2023-30/04/2026,3.712.139€,2.227.283€,0€
Call 2C (FA),Priority 2,2.3,COPPER,Cities for Open and Participative Planning for Electricity grid Resilience [FA],Stad Gent,01/10/2023-30/09/2027,5.099.140€,3.059.484€,0€
Call 2C (FA),Priority 2,2.4,ANCHOR,Anthropocene Nutrient and water Control for HOlistic resilience and Recovery (Copy),Vlaamse Instelling voor Technologisch Onderzoek,01/05/2023-30/04/2026,4.302.108€,2.581.265€,0€
Call 1B (SSP),Priority 2,2.4,CIBIP,Circular Business Innovation Program in the North Sea Region,Drivhuset Göteborg,01/09/2022-29/02/2024,487.802€,261.181€,26.250€
Call 3C (FA),Priority 2,2.4,CTB,Demand trust for circular building materials [FA] (3C),Provincie Drenthe,01/11/2023-31/10/2026,5.199.456€,3.119.674€,0€
Call 2C (FA),Priority 2,2.4,CEO,Circular Economy Office,"Hamburg Institute for Innovation, Climate Protection and Circular Economy GmbH",01/06/2023-31/05/2026,4.190.516€,2.514.310€,0€
Call 2B (SSP),Priority 2,2.4,GREEN,"Green Retail - towards a circular economy in the cross field between retail businesses, consumers and governance institutions",Vejle Kommune,01/08/2023-31/01/2025,499.999€,299.999€,0€
Call 3C (FA),Priority 2,2.4,BBoBB,Building Based on BioBased [FA] (3C),Provincie Fryslân,01/11/2023-31/10/2026,3.548.082€,2.128.849€,0€
Call 3C (FA),Priority 2,2.4,CLOSECYCLE,TOWARDS TERRITORIAL BIOREFINERY NETWORKS: Closing cycles by products from residue-based bioresources on regional levels [FA],Technische Universität Hamburg,01/01/2024-31/12/2027,5.819.203€,3.491.522€,0€
Call 3C (FA),Priority 2,2.5,MM,Mobility Makers: Customising sustainable mobility mixes to fit users’ needs [FA],Intercommunale voor Ontwikkeling van het Gewest Mechelen en Omgeving,01/11/2023-31/10/2027,6.229.245€,3.737.547€,0€
Call 2C (FA),Priority 2,2.5,InnoWaTr,Innovative Waterway Transportation 2.0.,Maritieme Academie Harlingen - part of DUNAMARE onderwijsgroep,12/04/2023-11/06/2026,5.741.955€,3.445.173€,0€
Call 1C (FA),Priority 2,2.5,SN2,SHARE-North Squared,Freie Hansestadt Bremen,01/01/2023-31/12/2026,7.529.187€,3.906.112€,509.500€
Call 1C (FA),Priority 2,2.5,SMALL,Shared Multimodal Mobility For ALL,Mpact,02/10/2022-02/10/2026,4.431.216€,2.658.730€,0€
Call 1C (FA),Priority 2,2.5,Active Cities,"Active mobility increased for sustainable zero-carbon urban multimodality, through human-centric planning, mobility hubs and behaviour change",Gemeente Leeuwarden,03/10/2022-31/12/2025,5.221.443€,2.832.867€,249.999€
Call 2C (FA),Priority 2,2.5,MoLo Hubs,People-Centric Mobility & Logistics Hubs,Logistik-Initiative Hamburg Management GmbH,01/07/2023-31/12/2026,3.678.537€,2.207.122€,0€
Call 3C (FA),Priority 2,2.5,GREEN SUPPLY CHAINS,Green Supply Chains – Building on synergies from greening strategies,Hafen Hamburg Marketing e.V.,01/01/2024-31/12/2026,3.660.300€,2.196.180€,0€
